Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
284,1006,41,420,2,565,2,6,0,458,1494,0.9725568942436412
285,1010,41,412,2,571,2,6,0,456,1490,0.9724832214765101
286,1003,41,408,2,573,2,7,0,464,1497,0.9726118904475618
287,1001,41,409,2,568,2,7,0,470,1499,0.9726484322881921
288,1005,41,398,2,573,2,7,0,472,1495,0.9725752508361204
289,992,41,391,2,576,2,7,0,489,1508,0.9728116710875332
290,985,41,387,2,570,2,7,0,506,1515,0.972937293729373
291,987,41,384,2,569,2,7,0,508,1513,0.9729015201586253
292,1015,41,381,2,536,2,7,0,516,1485,0.9723905723905724
293,1004,41,381,2,533,2,8,0,529,1496,0.9725935828877005
294,984,40,375,2,549,2,7,0,541,1516,0.9736147757255936
295,985,40,369,2,552,2,8,0,542,1515,0.9735973597359736
296,989,39,372,2,548,2,9,0,539,1511,0.9741892786234282
297,989,39,371,2,531,2,8,0,558,1511,0.9741892786234282
298,994,39,378,2,509,2,8,0,568,1506,0.9741035856573705
299,965,38,375,2,535,2,8,0,575,1535,0.9752442996742671
300,962,38,371,2,536,2,8,0,581,1538,0.9752925877763329
301,961,38,370,2,525,2,8,0,594,1539,0.9753086419753086
302,950,38,361,2,536,2,8,0,603,1550,0.9754838709677419
303,967,38,353,2,522,2,8,0,608,1533,0.9752120026092629
304,953,38,348,2,532,2,8,0,617,1547,0.9754363283775048
305,945,38,350,2,527,2,7,0,629,1555,0.9755627009646303
306,944,38,347,2,519,2,7,0,641,1556,0.9755784061696658
307,952,38,344,2,508,2,8,0,646,1548,0.975452196382429
308,975,38,338,2,498,2,7,0,640,1525,0.9750819672131148
309,961,38,340,2,503,2,7,0,647,1539,0.9753086419753086
310,952,37,335,2,508,2,7,0,657,1548,0.9760981912144703
311,954,37,332,2,503,2,7,0,663,1546,0.9760672703751617
312,964,37,326,2,496,2,7,0,666,1536,0.9759114583333334
313,956,37,325,2,504,2,7,0,667,1544,0.9760362694300518
314,938,36,329,2,515,2,8,0,670,1562,0.9769526248399488
315,935,36,322,2,511,2,8,0,684,1565,0.9769968051118211
316,918,36,316,2,517,2,8,0,701,1582,0.97724399494311
317,910,37,311,2,516,2,8,0,714,1590,0.9767295597484277
318,904,37,304,2,516,2,9,0,726,1596,0.9768170426065163
319,887,37,304,2,529,2,9,0,730,1613,0.977061376317421
320,890,37,303,2,524,2,9,0,733,1610,0.9770186335403727
321,876,36,303,2,532,2,8,0,741,1624,0.9778325123152709
322,878,35,299,2,524,2,8,0,752,1622,0.9784217016029593
323,885,34,303,2,512,2,7,0,755,1615,0.9789473684210527
324,891,34,299,2,497,2,7,0,768,1609,0.9788688626476072
325,903,34,291,2,489,2,6,0,773,1597,0.9787100814026299
326,896,34,292,2,496,2,6,0,772,1604,0.9788029925187033
327,884,34,290,1,496,2,6,0,787,1616,0.9789603960396039
328,870,34,287,1,506,2,6,0,794,1630,0.9791411042944785
329,850,34,291,1,509,2,6,0,807,1650,0.9793939393939394
330,870,34,285,1,495,2,6,0,807,1630,0.9791411042944785
331,879,34,278,1,496,2,6,0,804,1621,0.9790252930289944
332,878,34,273,1,495,2,6,0,811,1622,0.9790382244143033
333,884,34,271,1,481,2,6,0,821,1616,0.9789603960396039
334,883,34,263,1,476,2,6,0,835,1617,0.9789734075448361
335,869,33,266,1,483,2,6,0,840,1631,0.979767014101778
336,885,33,266,1,461,2,6,0,846,1615,0.9795665634674923
337,886,33,268,1,452,2,6,0,852,1614,0.9795539033457249
338,864,33,259,1,462,2,6,0,873,1636,0.9798288508557457
339,843,32,255,1,470,2,6,0,891,1657,0.9806879903439951
340,859,30,261,1,454,2,5,0,888,1641,0.9817184643510055
341,858,30,255,1,451,2,6,0,897,1642,0.9817295980511571
342,831,31,254,1,455,2,5,0,921,1669,0.981426003594967
343,818,31,256,1,458,2,5,0,929,1682,0.9815695600475625
344,823,31,249,1,458,2,5,0,931,1677,0.9815146094215862
345,814,31,247,1,457,2,6,0,942,1686,0.9816132858837485
346,820,31,252,1,446,2,6,0,942,1680,0.981547619047619
347,831,31,242,1,433,2,5,0,955,1669,0.981426003594967
348,831,31,238,1,433,2,5,0,959,1669,0.981426003594967
349,817,30,231,1,428,2,6,0,985,1683,0.982174688057041
350,801,30,232,1,431,2,6,0,997,1699,0.9823425544437905
351,785,30,228,1,437,2,7,0,1010,1715,0.9825072886297376
352,783,30,227,1,439,2,7,0,1011,1717,0.982527664531159
353,789,30,222,1,418,2,7,0,1031,1711,0.9824663939216832
354,800,30,214,1,398,2,7,0,1048,1700,0.9823529411764705
355,773,30,217,1,415,2,8,0,1054,1727,0.9826288361320209
356,747,30,211,1,420,2,7,0,1082,1753,0.9828864803194524
357,758,30,210,1,403,2,8,0,1088,1742,0.9827784156142365
358,751,30,207,1,410,2,8,0,1091,1749,0.9828473413379074
359,771,30,206,1,402,2,8,0,1080,1729,0.9826489300173511
360,787,30,203,1,385,2,8,0,1084,1713,0.9824868651488616
361,778,30,196,1,384,2,8,0,1101,1722,0.9825783972125436
362,767,30,200,1,372,2,8,0,1120,1733,0.9826889786497404
363,748,30,198,1,378,2,9,0,1134,1752,0.9828767123287672
364,741,30,194,1,376,2,10,0,1146,1759,0.9829448550312677
365,745,30,190,1,373,2,10,0,1149,1755,0.9829059829059829
366,739,30,188,1,369,2,10,0,1161,1761,0.9829642248722317
367,749,30,186,1,354,2,10,0,1168,1751,0.9828669331810395
368,744,29,182,1,352,2,11,0,1179,1756,0.9834851936218679
369,728,29,181,1,356,2,11,0,1192,1772,0.9836343115124153
370,729,29,178,1,354,2,11,0,1196,1771,0.9836250705815923
371,720,29,176,1,345,2,12,0,1215,1780,0.9837078651685394
372,724,29,177,1,335,2,11,0,1221,1776,0.9836711711711712
373,715,29,174,1,337,2,11,0,1231,1785,0.9837535014005602
374,698,29,176,1,345,2,11,0,1238,1802,0.983906770255272
375,686,29,179,1,337,2,12,0,1254,1814,0.984013230429989
376,694,30,178,1,333,2,13,0,1249,1806,0.9833887043189369
377,701,29,173,1,329,2,13,0,1252,1799,0.9838799332962757
378,692,29,169,1,328,2,13,0,1266,1808,0.9839601769911505
379,681,29,169,1,320,2,14,0,1284,1819,0.9840571742715778
380,699,29,164,1,313,2,14,0,1278,1801,0.9838978345363687
381,716,29,160,1,303,2,14,0,1275,1784,0.9837443946188341
382,682,29,159,1,321,2,13,0,1293,1818,0.9840484048404841
383,670,29,157,1,315,2,14,0,1312,1830,0.9841530054644809
384,667,29,155,1,309,2,14,0,1323,1833,0.9841789416257501
385,676,29,155,1,301,2,15,0,1321,1824,0.9841008771929824
